Unnamed: 0,YEAR,Sports,state_cd,SUM_PARTIC_MEN,SUM_PARTIC_WOMEN,TOTAL_OPEXP_INCLCOED,SUM_TOTAL_HDCOACH,TOTAL_REVENUE_ALL,TOTAL_EXPENSE_ALL,TOTAL_PARTIC
0,2006,All Track Combined,AL,417,524,1822639,19,3043662,8644609,941
1,2006,All Track Combined,AR,217,232,1190580,9,2274246,5747294,449
2,2006,All Track Combined,AZ,238,239,805820,8,1254244,3286060,477
3,2006,All Track Combined,CA,1366,1776,4369640,67,7644001,19053072,3142
4,2006,All Track Combined,CO,487,398,689035,22,2117588,3169044,885
5,2006,All Track Combined,CT,580,507,1135013,22,2602143,4666381,1087
6,2006,All Track Combined,DC,229,265,730069,9,1332921,3282033,494
7,2006,All Track Combined,DE,56,62,175412,2,498723,927514,118
8,2006,All Track Combined,FL,457,681,2497752,25,4559214,9857345,1138
9,2006,All Track Combined,GA,396,369,1073116,16,3141140,4895207,765
10,2006,All Track Combined,IA,1077,921,1649086,44,5121302,7604948,1998
11,2006,All Track Combined,ID,307,278,678884,12,1988516,2796899,585
12,2006,All Track Combined,IL,1392,1279,1848890,53,5991623,8660592,2671
13,2006,All Track Combined,IN,1108,1020,2031705,42,5059281,10417696,2128
14,2006,All Track Combined,KS,985,762,1499831,61,4014762,7213612,1747
15,2006,All Track Combined,KY,475,408,1107269,18,2184710,6256468,883
16,2006,All Track Combined,LA,619,646,1856581,23,3543631,8012181,1265
17,2006,All Track Combined,MA,1486,1387,1606514,61,6520869,7654619,2873
18,2006,All Track Combined,MD,507,479,789602,24,3259968,4273444,986
19,2006,All Track Combined,ME,429,500,514497,15,1443284,1563964,929
20,2006,All Track Combined,MI,945,919,2957034,35,5342438,11046501,1864
21,2006,All Track Combined,MN,955,999,1301647,42,2624713,4480365,1954
22,2006,All Track Combined,MO,930,813,1597529,46,5844297,7934710,1743
23,2006,All Track Combined,MS,216,207,886239,11,532651,3900022,423
24,2006,All Track Combined,MT,180,192,343244,4,1241681,1702551,372
25,2006,All Track Combined,NC,1120,1161,2199145,50,6306144,12981280,2281
